scan_date,scan_time,download_date,download_time,reader_id,antenna_id,dec_id
5/23/2021,23:21:02,5/25/2021,17:36:29,2,1,989.001034196486
5/23/2021,23:22:16,5/25/2021,17:36:29,2,1,989.001034195274
5/23/2021,23:42:31,5/25/2021,17:36:29,2,1,989.001039767679
5/23/2021,23:43:42,5/25/2021,17:36:29,2,1,989.001039767896
5/23/2021,23:48:54,5/25/2021,17:36:29,2,1,989.001034194969
5/23/2021,23:53:57,5/25/2021,17:36:29,2,1,989.001034196429
5/23/2021,23:58:26,5/25/2021,17:36:29,2,1,989.001039768878
5/24/2021,0:00:39,5/25/2021,17:36:29,2,1,989.001034194692
5/24/2021,0:03:23,5/25/2021,17:36:29,2,1,989.001039767603
5/24/2021,0:04:53,5/25/2021,17:36:29,2,1,989.001034194932
5/24/2021,0:20:41,5/25/2021,17:36:29,2,1,989.001039767877
5/24/2021,0:32:04,5/25/2021,17:36:29,2,1,989.001039768875
5/24/2021,0:33:33,5/25/2021,17:36:29,2,1,989.001039768331
5/24/2021,0:35:46,5/25/2021,17:36:29,2,1,989.001034195400
5/24/2021,0:43:47,5/25/2021,17:36:29,2,1,989.001034197059
5/24/2021,0:46:38,5/25/2021,17:36:29,2,1,989.001034196179
5/24/2021,0:56:40,5/25/2021,17:36:29,2,1,989.001034196250
5/24/2021,0:57:04,5/25/2021,17:36:29,2,1,989.001039768446
5/24/2021,0:58:42,5/25/2021,17:36:29,2,1,989.001039767739
5/24/2021,0:59:40,5/25/2021,17:36:29,2,1,989.001034196122
5/24/2021,1:04:41,5/25/2021,17:36:29,2,1,989.001039768537
5/24/2021,1:04:59,5/25/2021,17:36:29,2,1,989.001039767602
5/24/2021,1:07:50,5/25/2021,17:36:29,2,1,989.001034196372
5/24/2021,1:19:25,5/25/2021,17:36:29,2,1,989.001039769161
5/24/2021,1:23:58,5/25/2021,17:36:29,2,1,989.001034194945
5/24/2021,1:30:45,5/25/2021,17:36:29,2,1,989.001034196695
5/24/2021,1:33:57,5/25/2021,17:36:29,2,1,989.001039767904
5/24/2021,1:38:33,5/25/2021,17:36:29,2,1,989.001034195816
5/24/2021,1:40:57,5/25/2021,17:36:29,2,1,989.001034195332
5/24/2021,1:42:27,5/25/2021,17:36:29,2,1,989.001039769020
5/24/2021,1:42:34,5/25/2021,17:36:29,2,1,989.001039767770
5/24/2021,1:45:33,5/25/2021,17:36:29,2,1,989.001034195329
5/24/2021,1:48:42,5/25/2021,17:36:29,2,1,989.001034194885
5/24/2021,1:49:09,5/25/2021,17:36:29,2,1,989.001034194725
5/24/2021,1:49:56,5/25/2021,17:36:29,2,1,989.001039768504
5/24/2021,1:53:31,5/25/2021,17:36:30,2,1,989.001039768681
5/24/2021,1:54:38,5/25/2021,17:36:30,2,1,989.001034197282
5/24/2021,1:56:29,5/25/2021,17:36:30,2,1,989.001039769568
5/24/2021,2:15:13,5/25/2021,17:36:30,2,1,989.001039767810
5/24/2021,2:15:22,5/25/2021,17:36:30,2,1,989.001034196128
5/24/2021,2:15:54,5/25/2021,17:36:30,2,1,989.001039768196
5/24/2021,2:32:08,5/25/2021,17:36:30,2,1,989.001034195451
5/24/2021,2:34:17,5/25/2021,17:36:30,2,1,989.001039767824
5/24/2021,2:34:43,5/25/2021,17:36:30,2,1,989.001034195693
5/24/2021,2:36:33,5/25/2021,17:36:30,2,1,989.001039768170
5/24/2021,2:37:37,5/25/2021,17:36:30,2,1,989.001039768445
5/24/2021,2:51:41,5/25/2021,17:36:30,2,1,989.001034195418
5/24/2021,2:51:41,5/25/2021,17:36:30,2,1,989.001039769138
5/24/2021,2:58:23,5/25/2021,17:36:30,2,1,989.001034196044
5/24/2021,3:00:19,5/25/2021,17:36:30,2,1,989.001034195888
5/24/2021,3:00:23,5/25/2021,17:36:30,2,1,989.001034197493
5/24/2021,3:07:13,5/25/2021,17:36:30,2,1,989.001039769233
5/24/2021,3:07:22,5/25/2021,17:36:30,2,1,989.001034196962
5/24/2021,3:08:04,5/25/2021,17:36:30,2,1,989.001034194816
5/24/2021,3:18:27,5/25/2021,17:36:30,2,1,989.001034197258
5/24/2021,3:22:02,5/25/2021,17:36:30,2,1,989.001034196367
5/24/2021,3:23:43,5/25/2021,17:36:30,2,1,989.001034196301
5/24/2021,3:37:32,5/25/2021,17:36:30,2,1,989.001034196730
5/24/2021,3:38:05,5/25/2021,17:36:30,2,1,989.001034197283
5/24/2021,3:45:58,5/25/2021,17:36:30,2,1,989.001034196099
5/24/2021,3:58:14,5/25/2021,17:36:30,2,1,989.001039767758
5/24/2021,4:13:02,5/25/2021,17:36:30,2,1,989.001034197191
5/24/2021,4:26:00,5/25/2021,17:36:30,2,1,989.001039769289
5/24/2021,5:09:51,5/25/2021,17:36:30,2,1,989.001039769688
5/25/2021,5:25:41,5/25/2021,17:36:30,2,1,989.001039768701
5/26/2021,4:00:29,5/29/2021,9:48:21,2,1,989.001039767866
5/28/2021,23:20:21,5/29/2021,9:48:21,2,1,989.001039768511
6/21/2021,3:33:38,7/5/2021,13:25:23,2,1,989.001039769519
6/21/2021,3:34:01,7/5/2021,13:25:23,2,1,989.001034194877
6/21/2021,3:34:06,7/5/2021,13:25:23,2,1,989.001034194887
6/21/2021,3:38:36,7/5/2021,13:25:23,2,1,989.001034196244
6/21/2021,3:44:24,7/5/2021,13:25:23,2,1,989.001034195105
6/21/2021,3:54:27,7/5/2021,13:25:23,2,1,989.001034195500
6/21/2021,3:57:10,7/5/2021,13:25:23,2,1,989.001039769132
6/21/2021,5:10:42,7/5/2021,13:25:23,2,1,989.001034195801
6/21/2021,12:01:19,7/5/2021,13:25:23,2,1,989.001039768530
6/21/2021,12:27:22,7/5/2021,13:25:23,2,1,989.001039769243
6/21/2021,13:11:58,7/5/2021,13:25:23,2,1,989.001039769016
6/21/2021,14:34:56,7/5/2021,13:25:23,2,1,989.001039769238
6/21/2021,17:44:21,7/5/2021,13:25:23,2,1,989.001039768386
6/21/2021,23:25:17,7/5/2021,13:25:24,2,1,989.001034194668
6/21/2021,23:56:11,7/5/2021,13:25:24,2,1,989.001034195916
6/22/2021,0:35:24,7/5/2021,13:25:24,2,1,989.001034195419
6/22/2021,1:29:43,7/5/2021,13:25:24,2,1,989.001034197007
6/22/2021,1:42:47,7/5/2021,13:25:24,2,1,989.001034194734
6/22/2021,2:44:30,7/5/2021,13:25:24,2,1,989.001034196754
6/22/2021,3:15:21,7/5/2021,13:25:24,2,1,989.001039768785
6/22/2021,3:48:35,7/5/2021,13:25:24,2,1,989.001034196446
6/22/2021,16:12:52,7/5/2021,13:25:24,2,1,989.001039767836
6/23/2021,0:31:52,7/5/2021,13:25:25,2,1,989.001034196914
6/23/2021,0:33:21,7/5/2021,13:25:25,2,1,989.001039768517
6/23/2021,1:11:31,7/5/2021,13:25:25,2,1,989.001039768091
6/23/2021,1:12:44,7/5/2021,13:25:25,2,1,989.001034197521
6/23/2021,1:53:29,7/5/2021,13:25:25,2,1,989.001034197263
6/23/2021,2:10:19,7/5/2021,13:25:25,2,1,989.001034195911
6/23/2021,3:35:35,7/5/2021,13:25:25,2,1,989.001034197447
6/23/2021,3:44:40,7/5/2021,13:25:25,2,1,989.001034195324
6/23/2021,4:55:42,7/5/2021,13:25:25,2,1,989.001034196982
6/23/2021,19:57:01,7/5/2021,13:25:25,2,1,989.001039768552
6/23/2021,23:23:15,7/5/2021,13:25:25,2,1,989.001039767735
6/23/2021,23:34:12,7/5/2021,13:25:25,2,1,989.001039768918
6/24/2021,1:03:47,7/5/2021,13:25:25,2,1,989.001039768492
6/24/2021,1:09:59,7/5/2021,13:25:25,2,1,989.001034194882
6/24/2021,1:25:33,7/5/2021,13:25:25,2,1,989.001039767956
6/24/2021,2:50:02,7/5/2021,13:25:25,2,1,989.001034195755
6/24/2021,3:00:34,7/5/2021,13:25:25,2,1,989.001039768905
6/24/2021,3:40:15,7/5/2021,13:25:25,2,1,989.001034196768
6/24/2021,3:56:03,7/5/2021,13:25:25,2,1,989.001034194961
6/24/2021,3:56:59,7/5/2021,13:25:25,2,1,989.001034196763
6/24/2021,14:47:51,7/5/2021,13:25:25,2,1,989.001034195836
6/24/2021,23:59:15,7/5/2021,13:25:25,2,1,989.001039769313
6/25/2021,0:01:04,7/5/2021,13:25:25,2,1,989.001039768788
6/25/2021,1:23:22,7/5/2021,13:25:25,2,1,989.001039768208
6/25/2021,1:27:03,7/5/2021,13:25:25,2,1,989.001034196526
6/25/2021,1:42:58,7/5/2021,13:25:25,2,1,989.001039769286
6/25/2021,1:54:15,7/5/2021,13:25:25,2,1,989.001034195432
6/25/2021,1:58:33,7/5/2021,13:25:25,2,1,989.001039769267
6/25/2021,2:05:10,7/5/2021,13:25:25,2,1,989.001034195913
6/25/2021,2:36:31,7/5/2021,13:25:25,2,1,989.001034196778
6/25/2021,2:55:05,7/5/2021,13:25:25,2,1,989.001034196256
6/25/2021,2:57:34,7/5/2021,13:25:25,2,1,989.001034195399
6/25/2021,3:14:07,7/5/2021,13:25:25,2,1,989.001039767755
6/25/2021,3:37:15,7/5/2021,13:25:25,2,1,989.001039769674
6/25/2021,4:09:15,7/5/2021,13:25:25,2,1,989.001034196085
6/25/2021,4:18:48,7/5/2021,13:25:25,2,1,989.001039769240
6/25/2021,4:41:32,7/5/2021,13:25:25,2,1,989.001034196175
6/25/2021,10:57:17,7/5/2021,13:25:25,2,1,989.001034197206
6/25/2021,11:20:54,7/5/2021,13:25:25,2,1,989.001034194653
6/25/2021,13:14:24,7/5/2021,13:25:25,2,1,989.001039768515
6/25/2021,13:21:41,7/5/2021,13:25:25,2,1,989.001039768813
6/25/2021,15:01:11,7/5/2021,13:25:25,2,1,989.001039768502
6/25/2021,15:54:10,7/5/2021,13:25:25,2,1,989.001039767673
6/25/2021,16:51:19,7/5/2021,13:25:25,2,1,989.001039768554
6/25/2021,16:51:23,7/5/2021,13:25:25,2,1,989.001039767825
6/25/2021,17:51:36,7/5/2021,13:25:25,2,1,989.001039768770
6/25/2021,19:25:42,7/5/2021,13:25:25,2,1,989.001039768908
6/25/2021,21:41:42,7/5/2021,13:25:25,2,1,989.001039768147
6/25/2021,22:08:00,7/5/2021,13:25:25,2,1,989.001034196549
6/25/2021,22:40:57,7/5/2021,13:25:25,2,1,989.001039769055
6/25/2021,22:47:31,7/5/2021,13:25:25,2,1,989.001034194774
6/25/2021,23:32:54,7/5/2021,13:25:26,2,1,989.001034197255
6/25/2021,23:47:03,7/5/2021,13:25:26,2,1,989.001039768405
6/25/2021,23:55:37,7/5/2021,13:25:26,2,1,989.001039769550
6/25/2021,23:58:16,7/5/2021,13:25:26,2,1,989.001039769668
6/25/2021,23:59:41,7/5/2021,13:25:26,2,1,989.001034197078
6/26/2021,0:03:28,7/5/2021,13:25:26,2,1,989.001034197267
6/26/2021,0:18:10,7/5/2021,13:25:26,2,1,989.001034196870
6/26/2021,0:25:10,7/5/2021,13:25:26,2,1,989.001039768223
6/26/2021,0:34:41,7/5/2021,13:25:26,2,1,989.001039768590
6/26/2021,0:40:14,7/5/2021,13:25:26,2,1,989.001034195953
6/26/2021,0:42:04,7/5/2021,13:25:26,2,1,989.001034196766
6/26/2021,0:43:30,7/5/2021,13:25:26,2,1,989.001034195628
6/26/2021,0:50:11,7/5/2021,13:25:26,2,1,989.001034195714
6/26/2021,0:54:31,7/5/2021,13:25:26,2,1,989.001039767856
6/26/2021,1:02:45,7/5/2021,13:25:26,2,1,989.001039767957
6/26/2021,1:09:20,7/5/2021,13:25:26,2,1,989.001034196121
6/26/2021,1:11:18,7/5/2021,13:25:26,2,1,989.001034196329
6/26/2021,1:14:40,7/5/2021,13:25:26,2,1,989.001039768564
6/26/2021,1:41:18,7/5/2021,13:25:26,2,1,989.001039768732
6/26/2021,1:51:43,7/5/2021,13:25:26,2,1,989.001039768333
6/26/2021,1:51:54,7/5/2021,13:25:26,2,1,989.001034197538
6/26/2021,1:52:41,7/5/2021,13:25:26,2,1,989.001034195006
6/26/2021,1:57:09,7/5/2021,13:25:26,2,1,989.001034196222
6/26/2021,2:01:13,7/5/2021,13:25:26,2,1,989.001039767852
6/26/2021,2:26:14,7/5/2021,13:25:26,2,1,989.001034197286
6/26/2021,2:29:15,7/5/2021,13:25:26,2,1,989.001034196430
6/26/2021,2:30:12,7/5/2021,13:25:26,2,1,989.001039769065
6/26/2021,2:31:10,7/5/2021,13:25:26,2,1,989.001034196950
6/26/2021,2:32:24,7/5/2021,13:25:26,2,1,989.001034194982
6/26/2021,2:32:35,7/5/2021,13:25:26,2,1,989.001034195219
6/26/2021,2:34:19,7/5/2021,13:25:26,2,1,989.001039768856
6/26/2021,2:35:58,7/5/2021,13:25:26,2,1,989.001034195624
6/26/2021,2:47:23,7/5/2021,13:25:26,2,1,989.001039768162
6/26/2021,2:47:52,7/5/2021,13:25:26,2,1,989.001034196520
6/26/2021,3:01:47,7/5/2021,13:25:26,2,1,989.001039769301
6/26/2021,3:11:01,7/5/2021,13:25:26,2,1,989.001034195633
6/26/2021,3:21:39,7/5/2021,13:25:26,2,1,989.001039769482
6/26/2021,3:35:35,7/5/2021,13:25:26,2,1,989.001039768626
6/26/2021,4:11:43,7/5/2021,13:25:26,2,1,989.001039768098
6/26/2021,4:42:22,7/5/2021,13:25:26,2,1,989.001034196254
6/26/2021,5:32:17,7/5/2021,13:25:26,2,1,989.001034196836
6/26/2021,9:08:32,7/5/2021,13:25:26,2,1,989.001039768101
6/26/2021,11:53:19,7/5/2021,13:25:27,2,1,989.001039769262
6/26/2021,13:54:51,7/5/2021,13:25:27,2,1,989.001039767935
6/26/2021,14:23:46,7/5/2021,13:25:27,2,1,989.001034196105
6/26/2021,14:49:50,7/5/2021,13:25:27,2,1,989.001034197444
6/26/2021,15:41:50,7/5/2021,13:25:27,2,1,989.001034196744
6/26/2021,16:16:09,7/5/2021,13:25:27,2,1,989.001039768496
6/26/2021,16:32:54,7/5/2021,13:25:27,2,1,989.001039768112
6/26/2021,17:53:31,7/5/2021,13:25:27,2,1,989.001039768806
6/26/2021,20:17:15,7/5/2021,13:25:27,2,1,989.001039769414
6/26/2021,21:22:42,7/5/2021,13:25:27,2,1,989.001034196585
6/26/2021,22:25:45,7/5/2021,13:25:27,2,1,989.001034196521
6/26/2021,22:45:29,7/5/2021,13:25:27,2,1,989.001039768830
6/26/2021,23:25:44,7/5/2021,13:25:27,2,1,989.001034196645
6/26/2021,23:30:16,7/5/2021,13:25:27,2,1,989.001034196235
6/26/2021,23:31:49,7/5/2021,13:25:27,2,1,989.001039768729
6/26/2021,23:32:25,7/5/2021,13:25:27,2,1,989.001034195463
6/26/2021,23:38:49,7/5/2021,13:25:27,2,1,989.001039769149
6/26/2021,23:40:03,7/5/2021,13:25:27,2,1,989.001039768332
6/26/2021,23:47:52,7/5/2021,13:25:27,2,1,989.001034196041
6/26/2021,23:53:44,7/5/2021,13:25:27,2,1,989.001039767714
6/26/2021,23:59:54,7/5/2021,13:25:27,2,1,989.001034196920
6/27/2021,0:00:08,7/5/2021,13:25:27,2,1,989.001034197556
6/27/2021,0:06:57,7/5/2021,13:25:27,2,1,989.001034196167
6/27/2021,0:09:18,7/5/2021,13:25:27,2,1,989.001034195761
6/27/2021,0:14:14,7/5/2021,13:25:27,2,1,989.001034195010
6/27/2021,0:14:28,7/5/2021,13:25:27,2,1,989.001034196031
6/27/2021,0:20:58,7/5/2021,13:25:27,2,1,989.001034196833
6/27/2021,0:21:42,7/5/2021,13:25:27,2,1,989.001039768380
6/27/2021,0:22:21,7/5/2021,13:25:27,2,1,989.001034195903
6/27/2021,0:24:29,7/5/2021,13:25:27,2,1,989.001039768288
6/27/2021,0:27:16,7/5/2021,13:25:27,2,1,989.001034196038
6/27/2021,0:30:04,7/5/2021,13:25:27,2,1,989.001039769589
6/27/2021,0:32:08,7/5/2021,13:25:27,2,1,989.001034197077
6/27/2021,0:34:54,7/5/2021,13:25:27,2,1,989.001039768638
6/27/2021,0:41:34,7/5/2021,13:25:27,2,1,989.001034195313
6/27/2021,0:48:38,7/5/2021,13:25:27,2,1,989.001034195606
6/27/2021,0:54:44,7/5/2021,13:25:27,2,1,989.001034197029
6/27/2021,0:55:44,7/5/2021,13:25:27,2,1,989.001034196912
6/27/2021,0:56:03,7/5/2021,13:25:27,2,1,989.001034196123
6/27/2021,0:59:30,7/5/2021,13:25:27,2,1,989.001034197474
6/27/2021,1:04:33,7/5/2021,13:25:27,2,1,989.001034196039
6/27/2021,1:14:00,7/5/2021,13:25:27,2,1,989.001034196958
6/27/2021,1:36:18,7/5/2021,13:25:27,2,1,989.001034196949
6/27/2021,1:41:20,7/5/2021,13:25:27,2,1,989.001039769637
6/27/2021,1:43:39,7/5/2021,13:25:28,2,1,989.001034196786
6/27/2021,1:46:12,7/5/2021,13:25:28,2,1,989.001034197099
6/27/2021,1:48:28,7/5/2021,13:25:28,2,1,989.001039767841
6/27/2021,1:55:27,7/5/2021,13:25:28,2,1,989.001034196158
6/27/2021,2:11:21,7/5/2021,13:25:28,2,1,989.001034196448
6/27/2021,2:22:34,7/5/2021,13:25:28,2,1,989.001034197586
6/27/2021,2:31:21,7/5/2021,13:25:28,2,1,989.001039769626
6/27/2021,2:36:58,7/5/2021,13:25:28,2,1,989.001039769113
6/27/2021,2:48:33,7/5/2021,13:25:28,2,1,989.001034194801
6/27/2021,2:51:14,7/5/2021,13:25:28,2,1,989.001039769372
6/27/2021,2:52:05,7/5/2021,13:25:28,2,1,989.001039768680
6/27/2021,3:13:52,7/5/2021,13:25:28,2,1,989.001034195196
6/27/2021,3:20:03,7/5/2021,13:25:28,2,1,989.001034196944
6/27/2021,3:21:49,7/5/2021,13:25:28,2,1,989.001039767832
6/27/2021,3:28:41,7/5/2021,13:25:28,2,1,989.001039769548
6/27/2021,3:36:32,7/5/2021,13:25:28,2,1,989.001039769154
6/27/2021,3:49:56,7/5/2021,13:25:28,2,1,989.001039768499
6/27/2021,4:00:05,7/5/2021,13:25:28,2,1,989.001034195443
6/27/2021,4:08:11,7/5/2021,13:25:28,2,1,989.001034195784
6/27/2021,4:17:36,7/5/2021,13:25:28,2,1,989.001039769172
6/27/2021,8:45:17,7/5/2021,13:25:28,2,1,989.001039769045
6/27/2021,13:10:54,7/5/2021,13:25:28,2,1,989.001039769344
6/27/2021,14:26:01,7/5/2021,13:25:28,2,1,989.001039769337
6/27/2021,14:56:18,7/5/2021,13:25:28,2,1,989.001034197541
6/27/2021,17:14:33,7/5/2021,13:25:28,2,1,989.001039769118
6/27/2021,19:17:15,7/5/2021,13:25:28,2,1,989.001039769385
6/27/2021,19:59:09,7/5/2021,13:25:29,2,1,989.001039768980
6/27/2021,21:01:08,7/5/2021,13:25:29,2,1,989.001034197176
6/27/2021,23:08:27,7/5/2021,13:25:29,2,1,989.001034195930
6/27/2021,23:17:07,7/5/2021,13:25:30,2,1,989.001034196201
6/27/2021,23:23:33,7/5/2021,13:25:30,2,1,989.001034195641
6/27/2021,23:23:43,7/5/2021,13:25:30,2,1,989.001039767712
6/27/2021,23:30:19,7/5/2021,13:25:30,2,1,989.001034197411
6/27/2021,23:35:30,7/5/2021,13:25:30,2,1,989.001039768030
6/27/2021,23:40:43,7/5/2021,13:25:30,2,1,989.001039768368
6/27/2021,23:43:59,7/5/2021,13:25:30,2,1,989.001034196933
6/27/2021,23:47:43,7/5/2021,13:25:30,2,1,989.001034197575
6/27/2021,23:48:07,7/5/2021,13:25:30,2,1,989.001034195305
6/27/2021,23:52:23,7/5/2021,13:25:30,2,1,989.001034197184
6/27/2021,23:58:39,7/5/2021,13:25:30,2,1,989.001034196163
6/28/2021,0:01:18,7/5/2021,13:25:30,2,1,989.001034196894
6/28/2021,0:03:25,7/5/2021,13:25:30,2,1,989.001034197288
6/28/2021,0:16:26,7/5/2021,13:25:30,2,1,989.001034196159
6/28/2021,0:22:26,7/5/2021,13:25:30,2,1,989.001039769684
6/28/2021,0:26:48,7/5/2021,13:25:30,2,1,989.001034194775
6/28/2021,0:35:19,7/5/2021,13:25:30,2,1,989.001039769259
6/28/2021,0:36:20,7/5/2021,13:25:30,2,1,989.001034196497
6/28/2021,0:43:16,7/5/2021,13:25:30,2,1,989.001034196712
6/28/2021,0:47:27,7/5/2021,13:25:30,2,1,989.001034195986
6/28/2021,0:52:54,7/5/2021,13:25:30,2,1,989.001034196264
6/28/2021,0:57:36,7/5/2021,13:25:30,2,1,989.001034194688
6/28/2021,0:59:53,7/5/2021,13:25:30,2,1,989.001034196814
6/28/2021,1:01:32,7/5/2021,13:25:30,2,1,989.001034197529
6/28/2021,1:03:08,7/5/2021,13:25:30,2,1,989.001034195380
6/28/2021,1:04:41,7/5/2021,13:25:30,2,1,989.001039768087
6/28/2021,1:10:47,7/5/2021,13:25:30,2,1,989.001034197331
6/28/2021,1:12:15,7/5/2021,13:25:30,2,1,989.001039767722
6/28/2021,1:12:59,7/5/2021,13:25:30,2,1,989.001034195067
6/28/2021,1:22:09,7/5/2021,13:25:30,2,1,989.001034194619
6/28/2021,1:26:05,7/5/2021,13:25:30,2,1,989.001034194883
6/28/2021,1:33:29,7/5/2021,13:25:30,2,1,989.001034195866
6/28/2021,1:35:02,7/5/2021,13:25:30,2,1,989.001034196442
6/28/2021,1:36:01,7/5/2021,13:25:30,2,1,989.001039769672
6/28/2021,1:37:24,7/5/2021,13:25:30,2,1,989.001034195298
6/28/2021,1:38:29,7/5/2021,13:25:30,2,1,989.001034197129
6/28/2021,1:38:47,7/5/2021,13:25:30,2,1,989.001034195898
6/28/2021,1:39:06,7/5/2021,13:25:30,2,1,989.001034196273
6/28/2021,1:39:13,7/5/2021,13:25:30,2,1,989.001039769656
6/28/2021,1:53:21,7/5/2021,13:25:30,2,1,989.001039768773
6/28/2021,1:53:27,7/5/2021,13:25:30,2,1,989.001034195286
6/28/2021,2:02:51,7/5/2021,13:25:30,2,1,989.001034195423
6/28/2021,2:26:48,7/5/2021,13:25:30,2,1,989.001034195824
6/28/2021,2:42:47,7/5/2021,13:25:30,2,1,989.001034195844
6/28/2021,2:43:45,7/5/2021,13:25:30,2,1,989.001034195907
6/28/2021,2:58:18,7/5/2021,13:25:30,2,1,989.001034196232
6/28/2021,3:02:11,7/5/2021,13:25:30,2,1,989.001034197350
6/28/2021,3:03:54,7/5/2021,13:25:30,2,1,989.001034196142
6/28/2021,3:19:59,7/5/2021,13:25:30,2,1,989.001034195818
6/28/2021,4:45:52,7/5/2021,13:25:30,2,1,989.001034197569
6/28/2021,4:57:55,7/5/2021,13:25:30,2,1,989.001039768351
6/28/2021,10:37:53,7/5/2021,13:25:30,2,1,989.001034194693
6/28/2021,12:19:33,7/5/2021,13:25:30,2,1,989.001039768265
6/28/2021,14:58:17,7/5/2021,13:25:30,2,1,989.001039767783
6/28/2021,15:15:31,7/5/2021,13:25:30,2,1,989.001039769129
6/28/2021,15:18:00,7/5/2021,13:25:30,2,1,989.001034196400
6/28/2021,16:26:35,7/5/2021,13:25:30,2,1,989.001039769419
6/28/2021,18:42:29,7/5/2021,13:25:30,2,1,989.001039769284
6/28/2021,21:32:51,7/5/2021,13:25:30,2,1,989.001034195194
6/28/2021,22:29:12,7/5/2021,13:25:31,2,1,989.001039768823
6/28/2021,23:23:18,7/5/2021,13:25:31,2,1,989.001034195622
6/28/2021,23:32:30,7/5/2021,13:25:31,2,1,989.001034195425
6/28/2021,23:36:54,7/5/2021,13:25:31,2,1,989.001034197345
6/28/2021,23:39:28,7/5/2021,13:25:31,2,1,989.001034194838
6/28/2021,23:44:44,7/5/2021,13:25:31,2,1,989.001034197229
6/28/2021,23:48:13,7/5/2021,13:25:31,2,1,989.001034195110
6/28/2021,23:51:48,7/5/2021,13:25:31,2,1,989.001034197080
6/29/2021,0:03:36,7/5/2021,13:25:31,2,1,989.001034195653
6/29/2021,0:08:10,7/5/2021,13:25:31,2,1,989.001039768302
6/29/2021,0:12:55,7/5/2021,13:25:31,2,1,989.001039767626
6/29/2021,0:18:02,7/5/2021,13:25:31,2,1,989.001034196150
6/29/2021,0:27:43,7/5/2021,13:25:31,2,1,989.001034196528
6/29/2021,0:33:29,7/5/2021,13:25:31,2,1,989.001034197477
6/29/2021,0:39:41,7/5/2021,13:25:31,2,1,989.001034196986
6/29/2021,0:41:09,7/5/2021,13:25:31,2,1,989.001034196592
6/29/2021,0:48:05,7/5/2021,13:25:31,2,1,989.001034195804
6/29/2021,0:48:25,7/5/2021,13:25:31,2,1,989.001034195489
6/29/2021,0:49:29,7/5/2021,13:25:31,2,1,989.001034197043
6/29/2021,0:51:35,7/5/2021,13:25:31,2,1,989.001039768866
